48756,West Ham,25,West Ham United
25422,Newcastle,23,Newcastle United
52689,C Palace,6,Crystal Palace
56301,Watford,33,Watford
47999,Man City,11,Manchester City
56299,Burnley,43,Burnley
1141,Bournemouth,127,AFC Bournemouth
55190,Chelsea,4,Chelsea
56323,Liverpool,10,Liverpool
58943,Southampton,20,Southampton
56764,Fulham,34,Fulham
18567,Brighton,131,Brighton and Hove Albion
48044,Wolves,38,Wolverhampton Wanderers
78984,Huddersfield,159,Huddersfield Town
56343,Everton,7,Everton
48461,Leicester,26,Leicester City
48224,Tottenham,21,Tottenham Hotspur
79343,Cardiff,46,Cardiff City
48351,Man Utd,12,Manchester United
1096,Arsenal,1,Arsenal
